title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
Divine Comedy,Dante Alighieri,395.0,,865,,Cocoblu Retail,,https://www.amazon.in/dp/0141197498/?coliid=I30PBSGRBIHXVQ&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141197498,Penguin Books,"Paperback

₹395.00",2026-06-05T15:59:15.606399
Portrait Of India,MEHTA VED,443.0,,10,,Cocoblu Retail,,https://www.amazon.in/dp/0143422308/?coliid=I180MGZ1SYCE0U&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143422308,Penguin Books,"Paperback

₹443.00",2026-06-05T15:59:15.618002
"Shattered Thigh & Other Plays, The","Bhasa, A.N.D. Haksar",191.0,,34,,Cocoblu Retail,,https://www.amazon.in/dp/0143104306/?coliid=I1GV0A9SIVX6Z4&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143104306,Penguin Books,"Paperback

₹191.00",2026-06-05T16:00:14.356751
"Seduction of Shiva, The; Tales of Life a","A.N.D. Haksar (Tr.), A.N.D. Haksar",273.0,,15,,Cocoblu Retail,,https://www.amazon.in/dp/0143415409/?coliid=IBNJTYPO2HHNL&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143415409,Penguin Books,"Paperback

₹273.00",2026-06-05T16:00:18.980511
"Candide, or Optimism","Francois Voltaire, Theo Cuffe, Michael Wood",271.0,,5162,,Cocoblu Retail,,https://www.amazon.in/dp/0140455108/?coliid=IX38O2CZ5L54W&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0140455108,Penguin Books,"Paperback

₹271.00",2026-06-05T16:00:44.860389
American Supernatural Tales,"S.T. Joshi, S. T. Joshi",673.0,,211,,Cocoblu Retail,,https://www.amazon.in/dp/0143105043/?coliid=I275N52C1NZWEL&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143105043,Penguin Books,"Paperback

₹673.00",2026-06-05T16:01:02.826749
"Tales from 1,001 Nights","Malcolm Lyons, Ursula Lyons, Robert Irwin",461.0,,647,,Cocoblu Retail,,https://www.amazon.in/dp/014119166X/?coliid=I3UE7QDWE66Y7L&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,014119166X,Penguin Books,"Paperback

₹461.00",2026-06-05T16:01:08.545077
The Penguin Book of the Undead: Fifteen Hundred Years of Supernatural Encounters,Scott G Bruce,382.0,,174,,uRead-Store,,https://www.amazon.in/dp/0143107682/?coliid=IT7KD9084FY97&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143107682,Penguin Books,"Paperback

₹382.00",2026-06-05T16:01:15.783748
The Broom of the System (Penguin Orange) (Penguin Orange Classics),David Foster Wallace,893.11,,580,,uRead-Store,,https://www.amazon.in/dp/0143129449/?coliid=I2P463CWVRTVOF&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143129449,Penguin Books,"Paperback

₹928.00",2026-06-05T16:01:34.228240
"The Complete Novels of George Orwell: Animal Farm, Burmese Days, A Clergyman's Daughter, Coming Up for Air, Keep the Aspidistra Flying, Nineteen Eighty-Four",George Orwell,1112.0,,785,,uRead-Store,,https://www.amazon.in/dp/0141190396/?coliid=IL7RWXTOOW0JQ&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141190396,Penguin Books,"Paperback

₹1,112.00",2026-06-05T16:01:40.593622
The Penguin Classics Book,Henry Eliot,1598.0,,337,,Cocoblu Retail,,https://www.amazon.in/dp/0241320852/?coliid=ISWJG8PDHNFK0&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0241320852,Penguin Books,"Hardcover

₹1,598.00",2026-06-05T16:01:45.755853
The Epic of Gilgamesh,"Anonymous Anonymous, Andrew George",319.0,,1723,,Cocoblu Retail,,https://www.amazon.in/dp/0140449191/?coliid=I1ZNNAY7ZAE5NW&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0140449191,Penguin Books,"Paperback

₹319.00",2026-06-05T16:01:50.162159
The Moonstone,"Wilkie Collins, Sandra Kemp",313.0,,8691,,Cocoblu Retail,,https://www.amazon.in/dp/0140434089/?coliid=IUU8QLWG72Y79&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0140434089,Penguin Books,"Paperback

₹313.00",2026-06-05T16:02:41.517774
The Penguin Book of Murder Mysteries,"Various, Michael Sims",750.0,,84,,uRead-Store,,https://www.amazon.in/dp/0143137530/?coliid=I1MPJSY9OK9AJD&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143137530,Penguin Books,"Paperback

₹750.00",2026-06-05T16:02:51.222781
The Jungle Books,Rudyard Kipling,334.02,,9651,,uRead-Store,,https://www.amazon.in/dp/0141196653/?coliid=I360YBZ9Q8MNGO&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141196653,Penguin Books,"Paperback

₹334.02",2026-06-05T16:02:56.876134
The Man Who Would Be King: Selected Stories of Rudyard Kipling,Rudyard Kipling,479.0,,120,,Cocoblu Retail,,https://www.amazon.in/dp/0141442352/?coliid=I3EYJY83XI7ES&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141442352,Penguin Books,"Paperback

₹479.00",2026-06-05T16:03:01.713058
A Study in Scarlet,Arthur Conan Doyle,320.0,,5535,,Cocoblu Retail,,https://www.amazon.in/dp/0140439080/?coliid=I2GPMF8EAR746B&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0140439080,Penguin Books,"Paperback

₹320.00",2026-06-05T16:03:04.718318
The Ramcharitmanas 3,A. Tulsidas,380.0,,5,,uRead-Store,,https://www.amazon.in/dp/0143425897/?coliid=I2ZZ811YUPN41V&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143425897,Penguin Books,"Paperback

₹380.00",2026-06-05T16:04:56.164732
Speaking of Siva,"A. K. Ramanujan, A.K. Ramanujan",214.0,,117,,uRead-Store,,https://www.amazon.in/dp/0140442707/?coliid=ILP4IQOCBFFEN&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0140442707,Penguin Books,"Paperback

₹214.00",2026-06-05T16:05:05.059610
The Tibetan Book of the Dead: First Complete Translation,"Graham Coleman, Thupten Jinpa, ",458.0,,3031,,Cocoblu Retail,,https://www.amazon.in/dp/0140455264/?coliid=IDA7WH74UZE52&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0140455264,Penguin Books,"Paperback

₹458.00",2026-06-05T16:05:06.255753
The Epic of Gilgamesh,Nancy Sandars,328.0,,1838,,Cocoblu Retail,,https://www.amazon.in/dp/014044100X/?coliid=IUDO1JOLW504T&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,014044100X,Penguin Books,"Paperback

₹328.00",2026-06-05T16:05:25.767932
Northanger Abbey,"Jane Austen, Marilyn Butler",269.0,,11587,,Cocoblu Retail,,https://www.amazon.in/dp/0141439793/?coliid=IVVJVMBZD77P4&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141439793,Penguin Books,"Paperback

₹262.97",2026-06-05T16:05:33.251125
Persuasion,"Jane Austen, Gillian Beer",319.0,,1770,,uRead-Store,,https://www.amazon.in/dp/0141439688/?coliid=I20V928UISJPVY&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141439688,Penguin Books,"Paperback

₹319.00",2026-06-05T16:05:46.200934
Tao Te Ching,"Lao Tzu, D. C. Lau",291.0,,1324,,Cocoblu Retail,,https://www.amazon.in/dp/014044131X/?coliid=I2SP4TMWK7RU7P&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,014044131X,Penguin Books,"Paperback

₹291.00",2026-06-05T16:05:54.350598
Poor Folk and Other Stories,Fyodor Dostoyevsky,355.0,,402,,Cocoblu Retail,,https://www.amazon.in/dp/0140445056/?coliid=I2FTYTG89TAB41&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0140445056,Penguin Books,"Paperback

₹360.00",2026-06-05T16:05:58.788612
The House of the Dead,"Fyodor Dostoyevsky, David McDuff",370.0,,174,,Cocoblu Retail,,https://www.amazon.in/dp/0140444564/?coliid=I1WTRQ7Q9SWYL3&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0140444564,Penguin Books,"Paperback

₹370.00",2026-06-05T16:06:06.382697
Frankenstein,Mary Shelley,321.0,,28150,,uRead-Store,,https://www.amazon.in/dp/0141439475/?coliid=I1SASW49JDZZSY&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141439475,Penguin Books,"Paperback

₹321.00",2026-06-05T16:06:42.589374
The Wealth of Nations: Books IV-V,Adam Smith,437.02,,204,,uRead-Store,,https://www.amazon.in/dp/0140436154/?coliid=IY0VQAQTXMQ63&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0140436154,Penguin Books,"Paperback

₹437.02",2026-06-05T16:06:47.828178
Chanakya Niti: Verses on Life and Living,A.N.D. Haksar,172.0,,59,,Cocoblu Retail,,https://www.amazon.in/dp/0143444654/?coliid=I3AJ4VZHO5QKTR&colid=SO8O8O4HHG4&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143444654,Penguin Books,"Paperback

₹172.00",2026-06-05T16:07:03.869326
